index,open,high,low,close,volume
2012-04-30 16:00:00,102.4360,102.5620,102.2740,102.4500,13236
2012-04-30 15:59:00,102.4680,102.6100,102.3220,102.4980,4259
2012-04-30 15:58:00,102.4360,102.5780,102.3060,102.4980,1350
2012-04-30 15:57:00,102.4680,102.5780,102.3060,102.4660,2510
2012-04-30 15:56:00,102.4680,102.5940,102.3370,102.5140,428
2012-04-30 15:55:00,102.4840,102.6100,102.3530,102.5300,22231
2012-04-30 15:54:00,102.4730,102.5830,102.3420,102.5030,100
2012-04-30 15:52:00,102.4360,102.5460,102.3050,102.4660,150
2012-04-30 15:51:00,102.4200,102.5460,102.2900,102.4500,200
2012-04-30 15:50:00,102.4200,102.5300,102.2900,102.4500,50
2012-04-30 15:49:00,102.4680,102.5780,102.2900,102.4500,200
2012-04-30 15:48:00,102.4680,102.5830,102.3380,102.5030,100
2012-04-30 15:47:00,102.4760,102.5860,102.3460,102.5060,50
2012-04-30 15:44:00,102.5160,102.6420,102.3860,102.5620,250
2012-04-30 15:43:00,102.5000,102.6100,102.3700,102.5300,50
2012-04-30 15:42:00,102.4840,102.5940,102.3540,102.5140,50
2012-04-30 15:40:00,102.4520,102.5840,102.3220,102.5050,1367
2012-04-30 15:39:00,102.4360,102.5620,102.3060,102.4820,200
2012-04-30 15:38:00,102.4360,102.5460,102.3060,102.4660,50
2012-04-30 15:35:00,102.4200,102.5460,102.2900,102.4660,100
2012-04-30 15:34:00,102.4040,102.5140,102.2740,102.4340,500
2012-04-30 15:32:00,102.3880,102.5300,102.2580,102.4500,150
2012-04-30 15:31:00,102.3720,102.4980,102.2420,102.4180,2110
2012-04-30 15:29:00,102.3490,102.4590,102.2190,102.3800,150
2012-04-30 15:28:00,102.3400,102.4500,102.2100,102.3700,150
2012-04-30 15:27:00,102.3560,102.4660,102.2240,102.3850,176
2012-04-30 15:26:00,102.3560,102.4660,102.2260,102.3860,50
2012-04-30 15:24:00,102.3830,102.4930,102.2530,102.4130,125
2012-04-30 15:23:00,102.3720,102.4820,102.2420,102.4020,100
2012-04-30 15:20:00,102.3240,102.4720,102.1940,102.3920,1030
2012-04-30 15:19:00,102.3240,102.4340,102.1940,102.3540,50
2012-04-30 15:18:00,102.3240,102.4340,102.1940,102.3540,50
2012-04-30 15:17:00,102.3240,102.4340,102.1940,102.3540,50
2012-04-30 15:16:00,102.3240,102.4340,102.1890,102.3540,300
2012-04-30 15:15:00,102.3400,102.4500,102.1990,102.3600,300
2012-04-30 15:14:00,102.3400,102.4650,102.1970,102.3570,2347
2012-04-30 15:13:00,102.3720,102.4820,102.2420,102.4020,50
2012-04-30 15:12:00,102.3560,102.5140,102.2100,102.4340,1450
2012-04-30 15:11:00,102.3560,102.4660,102.2100,102.3860,550
2012-04-30 15:10:00,102.3560,102.4660,102.2180,102.3860,450
2012-04-30 15:09:00,102.3510,102.4610,102.2100,102.3700,125
2012-04-30 15:08:00,102.3720,102.4820,102.2310,102.3980,250
2012-04-30 15:07:00,102.3640,102.4820,102.2260,102.3860,552
2012-04-30 15:06:00,102.3680,102.4780,102.2380,102.3980,50
2012-04-30 15:05:00,102.3640,102.4820,102.2260,102.3860,400
2012-04-30 15:04:00,102.3680,102.4780,102.2260,102.3860,351
2012-04-30 15:03:00,102.3560,102.4780,102.2260,102.3980,150
2012-04-30 15:01:00,102.3720,102.4820,102.2420,102.4020,250
2012-04-30 15:00:00,102.3400,102.4980,102.2100,102.3860,1860
