index,open,high,low,close,volume
2010-11-30 16:00:00,84.0900,84.1980,83.9440,84.1070,902
2010-11-30 15:59:00,84.2150,84.3220,84.1000,84.2470,507
2010-11-30 15:58:00,84.2610,84.3690,84.1460,84.2930,330
2010-11-30 15:57:00,84.2300,84.3380,84.1150,84.2620,146
2010-11-30 15:56:00,84.2250,84.3330,84.1110,84.2580,500
2010-11-30 15:55:00,84.2770,84.3840,84.1620,84.3090,50
2010-11-30 15:53:00,84.3080,84.4160,84.1930,84.3400,50
2010-11-30 15:52:00,84.2300,84.3380,84.1150,84.2620,50
2010-11-30 15:48:00,84.1940,84.3020,84.0790,84.2270,100
2010-11-30 15:38:00,84.4630,84.5710,84.3330,84.4800,10850
2010-11-30 15:34:00,84.4480,84.5710,84.3330,84.4800,7500
2010-11-30 15:32:00,84.5260,84.6340,84.4100,84.5580,150
2010-11-30 15:23:00,84.5570,84.6650,84.4410,84.5890,50
2010-11-30 15:12:00,84.3550,84.4620,84.2390,84.3870,900
2010-11-30 15:10:00,84.4010,84.5090,84.2860,84.4330,850
2010-11-30 15:05:00,84.4940,84.6020,84.3790,84.5270,1450
2010-11-30 15:03:00,84.4940,84.6020,84.3790,84.5270,1700
2010-11-30 15:02:00,84.4770,84.5850,84.3620,84.5100,325
2010-11-30 14:58:00,84.4480,84.5560,84.3330,84.4800,1350
2010-11-30 14:57:00,84.4790,84.5870,84.3640,84.5110,1450
2010-11-30 14:56:00,84.4630,84.5710,84.3480,84.4960,1000
2010-11-30 14:55:00,84.4320,84.5400,84.3170,84.4650,80
2010-11-30 14:53:00,84.3700,84.4780,84.2550,84.4020,1708
2010-11-30 14:52:00,84.3390,84.4470,84.2240,84.3710,850
2010-11-30 14:44:00,84.2770,84.3840,84.1620,84.3090,500
2010-11-30 14:43:00,84.3230,84.4310,84.1770,84.3250,2450
2010-11-30 14:39:00,84.3080,84.4160,84.1910,84.3390,1425
2010-11-30 14:34:00,84.2300,84.3580,84.1150,84.2830,225
2010-11-30 14:31:00,84.3080,84.4160,84.1930,84.3400,1350
2010-11-30 14:26:00,84.4170,84.5250,84.3000,84.4470,100
2010-11-30 14:21:00,84.4790,84.6180,84.3640,84.5390,3940
2010-11-30 14:18:00,84.4630,84.5710,84.3480,84.4960,50
2010-11-30 14:15:00,84.5100,84.6180,84.3660,84.5180,1750
2010-11-30 14:12:00,84.5720,84.6800,84.4570,84.6040,500
2010-11-30 14:11:00,84.5850,84.6930,84.4690,84.6170,100
2010-11-30 14:07:00,84.6030,84.7110,84.4880,84.6360,50
2010-11-30 14:05:00,84.5410,84.6490,84.4240,84.5720,1050
2010-11-30 13:59:00,84.5220,84.6300,84.4070,84.5550,75
2010-11-30 13:56:00,84.4940,84.6020,84.3790,84.5270,50
2010-11-30 13:53:00,84.4630,84.5710,84.3480,84.4960,50
2010-11-30 13:42:00,84.4940,84.6020,84.3790,84.5270,200
2010-11-30 13:38:00,84.6190,84.7270,84.5030,84.6510,197
2010-11-30 13:33:00,84.5720,84.6800,84.4570,84.6040,500
